"Station","tempMin_1","temp25_1","temp50_1","temp75_1","tempMax_1","tempMin_2","temp25_2","temp50_2","temp75_2","tempMax_2","tempMin_3","temp25_3","temp50_3","temp75_3","tempMax_3","tempMin_4","temp25_4","temp50_4","temp75_4","tempMax_4","tempMin_5","temp25_5","temp50_5","temp75_5","tempMax_5","tempMin_6","temp25_6","temp50_6","temp75_6","tempMax_6","tempMin_7","temp25_7","temp50_7","temp75_7","tempMax_7","tempMin_8","temp25_8","temp50_8","temp75_8","tempMax_8","tempMin_9","temp25_9","temp50_9","temp75_9","tempMax_9","tempMin_10","temp25_10","temp50_10","temp75_10","tempMax_10","tempMin_11","temp25_11","temp50_11","temp75_11","tempMax_11","tempMin_12","temp25_12","temp50_12","temp75_12","tempMax_12","salMin_1","sal25_1","sal50_1","sal75_1","salMax_1","salMin_2","sal25_2","sal50_2","sal75_2","salMax_2","salMin_3","sal25_3","sal50_3","sal75_3","salMax_3","salMin_4","sal25_4","sal50_4","sal75_4","salMax_4","salMin_5","sal25_5","sal50_5","sal75_5","salMax_5","salMin_6","sal25_6","sal50_6","sal75_6","salMax_6","salMin_7","sal25_7","sal50_7","sal75_7","salMax_7","salMin_8","sal25_8","sal50_8","sal75_8","salMax_8","salMin_9","sal25_9","sal50_9","sal75_9","salMax_9","salMin_10","sal25_10","sal50_10","sal75_10","salMax_10","salMin_11","sal25_11","sal50_11","sal75_11","salMax_11","salMin_12","sal25_12","sal50_12","sal75_12","salMax_12","fscoreMin_1","fscore25_1","fscore50_1","fscore75_1","fscoreMax_1","fscoreMin_2","fscore25_2","fscore50_2","fscore75_2","fscoreMax_2","fscoreMin_3","fscore25_3","fscore50_3","fscore75_3","fscoreMax_3","fscoreMin_4","fscore25_4","fscore50_4","fscore75_4","fscoreMax_4","fscoreMin_5","fscore25_5","fscore50_5","fscore75_5","fscoreMax_5","fscoreMin_6","fscore25_6","fscore50_6","fscore75_6","fscoreMax_6","fscoreMin_7","fscore25_7","fscore50_7","fscore75_7","fscoreMax_7","fscoreMin_8","fscore25_8","fscore50_8","fscore75_8","fscoreMax_8","fscoreMin_9","fscore25_9","fscore50_9","fscore75_9","fscoreMax_9","fscoreMin_10","fscore25_10","fscore50_10","fscore75_10","fscoreMax_10","fscoreMin_11","fscore25_11","fscore50_11","fscore75_11","fscoreMax_11","fscoreMin_12","fscore25_12","fscore50_12","fscore75_12","fscoreMax_12"
"WL001.00",0,0,0,0,0,NA,NA,NA,NA,NA,4,4.5,5,6.5,8,5,5.75,6.5,7.25,8,0,8,9,12,15,10,12.5,15.5,19.25,22,12,15,18,20,24,14,16,19,19.75,23,12,13.5,15,16.5,17,11,12,13,13.5,14,5,8,10,11,14,7,7,7,7,7,32,32,32,32,32,NA,NA,NA,NA,NA,30,30,30,30.5,31,21,30,30,31,31,28,30,31,31,32,27,30,30,31.5,33,28,30,30,32,32,26,30,31,31,33,30,31,31.5,32,32,30,30.75,31.5,32.5,34,28,30,30,31,34,28,28,28,28,28,2.9,3.075,3.25,3.425,3.6,NA,NA,NA,NA,NA,2.9,2.9,2.9,6,9.1,2.9,2.9,2.9,2.9,15,2.9,2.9,2.9,2.9,2.9,2.9,9.1,9.1,68,240,2.9,3.6,6.35,28,240,2.9,2.9,2.95,3.6,240,2.9,3.075,9.3,23,240,2.9,2.9,2.9,3.075,3.6,2.9,3.125,6.35,34.5,149,9.1,9.1,9.1,9.1,9.1
"WL002.00",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,14,14.25,14.5,14.75,15,24,24,24,24,24,14,15.25,16.5,17.75,19,NA,NA,NA,NA,NA,11,11.25,11.5,11.75,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,32,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30.5,31,31,31,30,30,30,30.5,32,31,31,31,31.5,32,31,31,31,32,34,31,31.5,32,32.5,33,32,32,32,32,32,32,32,32,32.5,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.6,3.6,3.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.25,3.6,3.6,9.1,9.1,9.1,51.05,93,3.6,23,43,43,43,2.9,3.25,3.6,3.6,3.6,2.9,5.1,7.3,25.15,43,2.9,2.9,2.9,3.25,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WL003.00",-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,4,5,6,6.5,7,6,6.75,7,7.25,8,0,8,9,9,15,11,13.25,15,19,22,12,15.25,20,21,25,14,16.75,19.5,20.75,24,14,14.75,16,17.25,18,10,11,12,13,14,5,8.5,10,11,14,7,7,7,7,7,32,32,32,32,32,NA,NA,NA,NA,NA,24,27.5,31,31,31,20,30,30,31,32,26,28,30,31,32,25,30,30,31,33,27,30,31,31.25,32,30,30,30.5,31,33,30,31.25,32,32,32,30,30.75,31.5,32.25,33,29,30,30.5,31,34,28,28,28,28,28,2.9,2.9,2.9,2.9,2.9,NA,NA,NA,NA,NA,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.6,3.6,23,2.9,2.9,16.05,43,93,2.9,3.425,6.35,34.5,460,2.9,3.6,3.6,9.1,43,2.9,3.075,3.6,38,460,2.9,2.9,2.9,2.9,2.9,2.9,3.425,6.35,22,240,9.1,9.1,9.1,9.1,9.1
"WL004.00",-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,15,15,15,15,15,14,16,18,21,24,21,21,21,21,21,11,11,11,11,11,10,10.75,11.5,12.25,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,32,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30.5,31,31.5,32,25,28.75,30.5,31.25,32,31,31,31,31.5,32,31,31,32,32,33,31,31.5,32,32.5,33,31,31.5,32,32,32,32,32,32,32.5,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,2.9,2.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.075,3.6,3.6,48.3,93,166.5,240,2.9,2.9,2.9,3.6,15,2.9,3.25,3.6,3.6,3.6,2.9,6,9.1,24.05,39,2.9,12.95,23,131.5,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WL005.00",-1,0.25,1.5,2.75,4,-2,-0.5,0.5,1.75,4,-3,4,4,5.5,8,2,5,8,10,15,0,8,9,12,25,10,15,16,20,25,14,17.75,19,21.25,26,12,16,20,21.5,25,15,16,16.5,19.75,24,10,12,12.5,14.75,17,5,7.25,9.5,10,13,5,5,5,6,7,30,30.5,31,31.5,32,30,30.75,31.5,32,32,29,30,31,31.5,32,15,28,30,31,32,24,28,30,30,32,25,28,30,30,33,26,30,30,31,33,26,30,31,31,33,30,30.75,32,32,32,30,30,30,32,33,29,30,31,31.25,32,29,29.5,30,30,30,1.9,2.4,2.9,2.9,2.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.9,23,1.9,1.9,2.45,2.9,3.6,1.9,1.9,2.9,2.9,3.6,1.9,2,6,15,240,1.9,2.9,2.9,3.6,240,1.9,2.45,2.9,4,93,1.9,1.9,2.9,3.075,93,1.9,2,2.9,2.9,18,1.9,1.975,2.9,6.75,460,1.9,2.4,2.9,47.95,93
"WL006.00",-3,-1.25,0.5,2.25,4,0,0,0,1,2,-2,4.25,5.5,6,9,2,6,8,10,14,7,9,9.5,12.75,24,11,13,17.5,20.5,24,13,17.5,20,20.75,28,15,17,21,23.75,26,15,16,16,19,23,9,10,13,15,18,2,7.25,8.5,10.25,14,3,3,3,3,3,30,30.5,31,31.5,32,18,24,30,31,32,28,30,30,30.75,32,18,28,30,30,32,20,27,29,30,32,22,28,30,30,33,26,30,30,31.5,33,25,30,31,31,33,30,30.75,32,32,32,26,30,30,31.5,32,23,30,30,31.75,34,30,30,30,30,30,1.9,2.15,2.4,2.65,2.9,1.9,1.9,1.9,1.95,2,1.9,1.9,1.9,2.65,7.3,1.9,1.9,2.9,2.9,9.1,1.9,2,2.9,2.9,11,1.9,2.9,3.25,7.475,460,1.9,2.9,2.9,3.8,93,1.9,2.225,2.9,7.825,1100,1.9,2,2.9,10.575,72,1.9,2,2.9,5.45,43,1.9,1.925,3.6,9.1,93,1.9,1.9,1.9,1.9,1.9
"WL007.00",-1,0.25,1.5,2.75,4,-2,0.25,1.5,2.5,4,-2,3,4,5,8,3,6,8,8,10,5,8,10,11,15,10,12.75,15,18.25,26,14,17,18.5,20,23,13,16,17,20,24,13,15.75,16,19.25,23,8,10,13,15,16,3,8,9,10.75,14,6,6.25,6.5,6.75,7,30,31,32,32,32,30,30.75,31.5,32,32,26,30,31,32,32,25,27.75,30,31,35,25,28.25,30,31,32,25,29,30,31,33,26,30,30,31,33,26,30,31,31,33,27,31,32,32,99.9,30,30,31,32,33,25,30,31,31.5,34,30,30,30,30,30,1.9,2.4,2.9,2.9,2.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.9,2.9,1.9,1.9,2.9,2.9,3.6,1.9,1.9,2.9,2.9,10,1.9,1.9,3.6,6.55,240,1.9,2.675,2.9,10.575,93,1.9,2,2.9,6,460,1.9,1.9,2.9,3.6,15,1.9,2,2.9,2.9,460,1.9,2.9,3.6,4.55,13,1.9,2.15,2.4,2.65,2.9
"WL009.00",-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6.5,7,7,8,9,11,13,14,15,16,16.5,17,16,16,16,16,16,17,17.5,18,19.5,21,14,14.5,15,15,15,10,10,10,10,10,4,4.5,5,5.5,6,NA,NA,NA,NA,NA,32,32,32,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,30,30,31,31,28,29.5,30,31.5,32,30,30.25,31,31,31,31,32,32,32,32,29,31.25,32,32.75,33,31,31.75,32,32.25,33,30,31,31,31.75,32,32,32,32,32,32,NA,NA,NA,NA,NA,2.9,2.9,2.9,2.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,2.9,2.9,2.9,2,2.9,2.9,2.9,9.1,2.9,3.075,6.35,9.1,15,2.9,2.9,2.9,2.9,240,2.9,2.9,3.25,3.6,3.6,2.9,2.9,2.9,3.075,3.6,2.9,2.9,3.25,3.6,23,2.9,2.9,2.9,2.9,2.9,NA,NA,NA,NA,NA
"WL010.00",4,4,4,4,4,0,0.5,1,3,5,-2,4.25,5,5,8,2,6,7,9,10,6,8.75,10.5,11.25,16,11,14,17,19,25,12,17.25,19,21,25,14,16,18,21,24,14,16,17,19.5,23,8,10,13,15,17,7,8.75,9,11.25,15,5,5.25,5.5,5.75,6,30,30.75,31.5,32.25,33,31,31.75,32,32.25,33,26,30,30,31.5,34,26,28.75,30,31,34,24,29,30,31,32,25,28,30,30.5,33,26,30,30,32,33,26,30,31,31.75,33,30,31,32,32,33,27,30,31,32,33,25,30,31,32,32,30,30,30,30,30,1.9,1.925,1.95,1.975,2,1.9,1.9,1.9,1.925,2,1.9,1.9,1.9,2.9,3.6,1.9,1.9,2.45,2.9,2.9,1.9,1.9,2.9,3,43,1.9,2.45,3.6,9.1,50,1.9,2.9,2.9,3.6,460,1.9,2,2.9,19.525,460,1.9,2.9,3.6,5.5,460,1.9,2.9,2.9,3.6,1100,1.9,1.9,2.9,2.925,240,1.9,2.15,2.4,2.65,2.9
"WL011.00",-1,0.25,1.5,2.75,4,-5,1,1,4,4,-3,4,5,8,9,2,6,7.5,9.25,10,6,9,10,12.25,17,11,14.25,15.5,18,22,13,17,19,20.75,24,14,17,18,21,24,14,15,18,19,23,9,11,13.5,15,17,4,8,9,10.5,13,4,4.75,5.5,6,6,30,30.5,31,31.5,32,30,30,31,32,32,29,30,30,30.5,32,25,30,30,31,35,24,28,30,31,32,4,30,30,30,33,26,30,30,31,33,27,30,31,31.75,33,30,31,32,32,33,30,30,31,32,33,22,29.75,31.5,32,33,30,30,30,30.5,32,1.9,2.15,2.4,2.65,2.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2.9,3.6,1.9,1.9,2.9,2.9,2.9,1.9,1.9,2.9,2.9,10,1.9,2.9,3.25,9.1,144,1.9,2.9,3.6,9.1,110,1.9,2.9,2.9,3.9,116,1.9,2,3,9.1,40,1.9,2.9,3.6,11.05,300,1.9,2.675,3.3,12.575,320,1.9,1.9,2.4,26.175,96
