"ID","SITE_ID","latitude","longitude","StartYr","EndYr","speciesCategory","species","Status","LEASE_TYPE","equipment","Source_of_Stock","BATHY","X010029_20130824","X010029_20140115","X010029_20140304","X010029_20140507","X010029_20140608","X010029_20140827","X010029_20140912","X010029_20140928","X010029_20141030","X010029_20150307","X010029_20150713","X010029_20150729","X010029_20150814","X010029_20150915","X010029_20151220","X011029_20160823","X011030_20130714","X011030_20130730","X011030_20130815","X011030_20131002","X011030_20131018","X011030_20140327","X011030_20140412","X011030_20140530","X011030_20140919","X011030_20150415","X011030_20150906","X011030_20151008","X011030_20151109","X011030_20151125","X011030_20160128","X011030_20160417","X011030_20160620","X011030_20160706","X011030_20160722","X011030_20160823"
1,"AHUN117",43.944951,-69.722196,2017,2017,"ShellFish","Hard Clam/Quahog (Mercenaria mercenaria)","A","L","bottom anti-predator netting","Muscongus Bay Aquaculture 24 Seal Ledge Lane Bremen ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"AHUN217",43.944905,-69.722063,2017,2017,"ShellFish","Hard Clam/Quahog (Mercenaria mercenaria)","A","L","bottom anti-predator netting","Muscongus Bay Aquaculture 24 Seal Ledge Lane Bremen ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"AJAG316",43.75667,-70.1656,2016,2017,"SeaVeg","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","A","L","marine algae","University of New England",-6.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,NA,NA,19.43,22.07,19.33
4,"AJAG416",43.7575,-70.1694,2016,2017,"SeaVeg","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","A","L","marine algae","University of New England",-6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,NA,NA,19.42,22.22,19.31
5,"AMEY116",44.65983,-67.24966,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","133 semi-ridig plastic mesh ADPI bags and 44 wire mesh base wedges","Muscongus Bay Aquaculture P.O. Box 2104, Bremen, Maine 04551 Phone:207-529-4100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"AMEY216",44.65986,-67.24965,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","133 semi-ridig plastic mesh ADPI bags and 44 wire mesh base wedges","Muscongus Bay Aquaculture P.O. Box 2104, Bremen, Maine 04551 Phone:207-529-4100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"AMEY316",44.65941,-67.2497,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","133 semi-ridig plastic mesh ADPI bags and 44 wire mesh base wedges","Muscongus Bay Aquaculture P.O. Box 2104, Bremen, Maine 04551 Phone:207-529-4100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"AMEY416",44.65945,-67.2497,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","133 semi-ridig plastic mesh ADPI bags and 44 wire mesh base wedges","Muscongus Bay Aquaculture P.O. Box 2104, Bremen, Maine 04551 Phone:207-529-4100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"AND04",44.02529,-69.5402,2004,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Floating ADPI bags & trays","Norumbega Oyster Company",-0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.41,27.08,25.69,21.41,19.33,NA,0.36,13.78,15.57,17.07,12.6,24.33,15.47,10.26,2.08,0.01,9.12,19.25,NA,23.51,23.41
10,"ANDR214",43.86722,-69.5673,2014,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Soft mesh bags","Norumbega Oyster Company",-6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.29,NA,NA,NA,NA,NA,1.51,6.53,10.71,13.76,7.61,18.34,13.98,10.9,7.5,3.57,6.83,15.55,14.78,18.94,18.18
11,"ANDR316",43.87028,-69.56659,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","soft bags","Pemaquid Oyster Co and Norumbega Oyster Co",-1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21,6.98,16.28,15.16,19.72,19.22
12,"APET117",44.2963,-68.8049,2017,2017,"ShellFish","Sea Scallop (Placopecten magellanicus)","A","L","lantern nets/pearl nets, scallop spat collector bags, scallop ear hangers","sea scallop (Caitlin Cleaver, Hurricane Island Foundation) and Nate Perry, Pine Point Oyster)",-6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
