"ID","SITE_ID","LATITUDE","LONGITUDE","species","equipment","LEASE_TYPE","Status","TheYr","EndYr","BATHY","X010029_20130824","X010029_20140115","X010029_20140304","X010029_20140507","X010029_20140608","X010029_20140827","X010029_20140912","X010029_20140928","X010029_20141030","X010029_20150307","X010029_20150713","X010029_20150729","X010029_20150814","X010029_20150915","X010029_20151220","X011029_20160823","X011030_20130714","X011030_20130730","X011030_20130815","X011030_20131002","X011030_20131018","X011030_20140327","X011030_20140412","X011030_20140530","X011030_20140919","X011030_20150415","X011030_20150906","X011030_20151008","X011030_20151109","X011030_20151125","X011030_20160128","X011030_20160417","X011030_20160620","X011030_20160706","X011030_20160722","X011030_20160823"
1,"AHUN117",43.944951,-69.722196,"ShellFish","Shellfish Tray Racks","L","A",2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"AHUN217",43.944905,-69.722063,"Finfish","No Gear","L","A",2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"AJAG316",43.75667,-70.1656,"Finfish","ADPI bags","L","A",2016,2017,-6.5424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15778183937073,NA,NA,19.4251861572266,22.0731945037842,19.3259906768799
4,"AJAG416",43.7575,-70.1694,"SeaVeg","Lantern Nets","L","A",2016,2017,-6.6734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11673295497894,NA,NA,19.4220008850098,22.2208614349365,19.3062438964844
5,"AMEY116",44.65983,-67.24966,"Finfish","Soft Mesh Bags","L","A",2016,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"AMEY216",44.65986,-67.24965,"Urchin","Upweller","L","A",2016,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"AMEY316",44.65941,-67.2497,"SeaVeg","No Gear","L","A",2016,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"AMEY416",44.65945,-67.2497,"Urchin","Marine Algae Gear","L","A",2016,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"AND04",44.02529,-69.5402,"Finfish","Predator Nets","L","A",2004,2017,-0.4396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4093208312988,27.0769348144531,25.6940746307373,21.4115695953369,19.3299560546875,NA,0.360380321741104,13.7751560211182,15.5657377243042,17.0677757263184,12.6019830703735,24.3271217346191,15.4724941253662,10.2633953094482,2.08151698112488,0.0126564418897033,9.12490367889404,19.2485046386719,NA,23.5097789764404,23.4069900512695
10,"ANDR214",43.86722,-69.5673,"ShellFish","Spat Collectors","L","A",2014,2017,-6.8846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2912006378174,NA,NA,NA,NA,NA,1.51129806041718,6.5285120010376,10.7072954177856,13.7646808624268,7.61280822753906,18.3442077636719,13.975489616394,10.9038190841675,7.50139427185059,3.57193470001221,6.8287467956543,15.5522947311401,14.7847280502319,18.941951751709,18.1793479919434
11,"ANDR316",43.87028,-69.56659,"Finfish","Marine Algae Gear","L","A",2016,2017,-1.1668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5158557891846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2069149017334,6.97831964492798,16.2840576171875,15.1606216430664,19.7231464385986,19.2239322662354
