"ID","SITE_ID","LATITUDE","LONGITUDE","species","equipment","SST_Mean","SST_StdDev","BATHY"
1,"AJAG116",43.755,-70.1544,"SeaVeg","marine algae",16.54075,11.0763779090158,-4.9206
2,"AJAG216",43.75528,-70.1539,"SeaVeg","marine algae",16.60675,11.2053409103278,-4.5403
3,"AJAG316",43.75667,-70.1656,"SeaVeg","marine algae",15.4955,9.64263299104555,-6.5424
4,"AJAG416",43.7575,-70.1694,"SeaVeg","marine algae",15.5165,9.69379803448232,-6.6734
5,"AMOE116",43.78861,-70.1247,"ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",13.9253333333333,8.22197972915688,-0.2571
6,"AMOE216",43.78833,-70.1247,"ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",13.9153333333333,8.22056430342021,-0.3149
7,"AND04",44.02529,-69.5402,"ShellFish","Floating ADPI bags & trays",16.039,8.53450952180486,-0.4396
8,"ANDR214",43.86722,-69.5673,"ShellFish","Soft mesh bags",11.6874375,5.61011763357062,-6.8846
9,"ANDR316",43.87028,-69.56659,"ShellFish","soft bags",14.299,6.61066391017826,-1.1668
10,"ASMI116",44.24824,-68.25385,"ShellFish","shellfish trays racks and over wintering cages; soft bags, semi rigid bags, and or floating trays",16.478,NA,-1.5544
11,"ASTG116",43.826276,-70.011469,"ShellFish, SeaVeg","HDPE mesh bags, OysterGro floating cages, macroalgae longline gear",13.7574,9.71713009586678,-4.5428
12,"ATW113",43.98115,-69.0755,"ShellFish","Oyster cages",18.9872,4.3753593795253,-1.1858
13,"ATW215",43.98116,-69.0755,"ShellFish","Shellfish tray racks and over wintering cages",11.9814,5.07458533281292,-1.1858
14,"ATW315",43.98153,-69.0756,"ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",13.3278888888889,5.7090902393561,-1.5811
15,"ATW415",43.98167,-69.0754,"ShellFish","Shellfish tray racks, soft bags, and moorings",13.0134444444444,5.56077108212321,-2.6364
16,"BARK115",44.04475,-69.5131,"SeaVeg","Marine Algae Gear and Moorings",16.4246,9.67161973335732,NA
17,"BARK215",43.92958,-69.5739,"SeaVeg","Marine algae gear and moorings",13.6511666666667,6.45557830425937,-10.0325
18,"BARK315",43.92964,-69.5739,"SeaVeg","Marine algae gear and moorings",13.6523636363636,6.77793373046281,-9.7804
19,"BEE108",43.74822,-70.0413,"ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",14.1041578947368,6.47862753180845,-1.7756
20,"BEE208",43.74781,-70.0341,"ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",11.7418333333333,5.91345582446329,-0.5753
21,"BEE309",43.74773,-70.0343,"ShellFish","Overwintering cages and floating shellfish bags",11.7418333333333,5.91345582446329,-0.3031
22,"BEE409",43.74763,-70.0344,"ShellFish","Floating shellfish bags and overwintering cages",11.7418333333333,5.91345582446329,-0.2938
23,"BMCK115",43.75876,-70.191,"ShellFish","Soft mesh bags and moorings",14.5408888888889,7.89123734664667,-0.674
24,"BMRC115",43.82873,-70.0161,"ShellFish","Soft mesh bags and moorings",12.1622857142857,8.36746111860871,NA
25,"BMRC215",43.82835,-70.0157,"ShellFish","Soft mesh bags, shellfish tray racks, and moorings",15.9938888888889,8.91253919268303,-1.5365
26,"BOL110",43.84095,-69.7332,"ShellFish","Oyster cages, floating & overwintered on bottom",14.2511052631579,6.71130964942956,-1.3718
27,"BOL212",43.83556,-69.7353,"ShellFish","Floating cages or shellfish raft with floating cages",14.685,6.73326601657769,-1.201
28,"BOL312",43.82917,-69.7425,"ShellFish","Floating cages or shellfish raft with floating cages",13.9031052631579,6.62145645185858,-0.5946
29,"BOL412",43.83833,-69.7383,"ShellFish","Floating cages or shellfish raft with floating cages",14.3097368421053,6.5823337118052,-1.0792
30,"BPAR116",44.04694,-69.5173,"ShellFish","soft bags, semi rigid bags, and/or floating trays",16.8172,11.9584803675049,-0.1
31,"BPAR216",44.04728,-69.5168,"ShellFish","shellfish tray racks and over wintering cages; soft bags, semi rigid bags, and/or floating trays",16.622,11.7579243278735,NA
32,"BREW112",44.13794,-68.6663,"ShellFish","Shellfish trays, bags, and cages all on bottom",13.849,5.4192663710137,-2.4367
33,"BREW215",44.2725,-68.7181,"ShellFish","Scallop spat collector bags, shellfish tray racks, and moorings",16.455,NA,-13.0322
34,"BSEW115",43.73019,-69.8683,"SeaVeg","Marine algae gear and moorings",12.6659,5.96582434370976,-7.4877
35,"BSEW215",43.73134,-69.867,"SeaVeg","Marine algae gear and moorings",12.7454,6.06448120342265,-11.4504
36,"BSEW315",43.73246,-69.8662,"SeaVeg","Marine algae gear and moorings",11.8631111111111,5.7702318073983,-8.4915
37,"BSEW415",43.73374,-69.8662,"SeaVeg","Marine algae gear and moorings",12.8097,6.11544084083705,-4.332
38,"BUTT114",43.78056,-70.1106,"ShellFish","Tray racks and soft mesh bags",13.2832142857143,7.00745888517889,-1.3724
