"ID","SITE_ID","LATITUDE","LONGITUDE","Month","species","equipment","SST_Mean","SST_StdDev","BATHY"
1,"AJAG116",43.755,-70.1544,"Aug","SeaVeg","marine algae",21.209,NA,-4.9206
2,"AJAG116",43.755,-70.1544,"Jan","SeaVeg","marine algae",0.002,NA,-4.9206
3,"AJAG116",43.755,-70.1544,"Jul","SeaVeg","marine algae",22.476,1.51038008461447,-4.9206
4,"AJAG216",43.75528,-70.1539,"Aug","SeaVeg","marine algae",21.274,NA,-4.5403
5,"AJAG216",43.75528,-70.1539,"Jan","SeaVeg","marine algae",-0.122,NA,-4.5403
6,"AJAG216",43.75528,-70.1539,"Jul","SeaVeg","marine algae",22.6375,1.51815825920752,-4.5403
7,"AJAG316",43.75667,-70.1656,"Aug","SeaVeg","marine algae",19.326,NA,-6.5424
8,"AJAG316",43.75667,-70.1656,"Jan","SeaVeg","marine algae",1.158,NA,-6.5424
9,"AJAG316",43.75667,-70.1656,"Jul","SeaVeg","marine algae",20.749,1.87241875658198,-6.5424
10,"AJAG416",43.7575,-70.1694,"Aug","SeaVeg","marine algae",19.306,NA,-6.6734
11,"AJAG416",43.7575,-70.1694,"Jan","SeaVeg","marine algae",1.117,NA,-6.6734
12,"AJAG416",43.7575,-70.1694,"Jul","SeaVeg","marine algae",20.8215,1.97919188054115,-6.6734
13,"AMOE116",43.78861,-70.1247,"Apr","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",6.294,NA,-0.2571
14,"AMOE116",43.78861,-70.1247,"Aug","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",19.809,NA,-0.2571
15,"AMOE116",43.78861,-70.1247,"Jan","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",1.151,NA,-0.2571
16,"AMOE116",43.78861,-70.1247,"Jul","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",19.7745,2.35961532881951,-0.2571
17,"AMOE116",43.78861,-70.1247,"Jun","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",16.749,NA,-0.2571
18,"AMOE216",43.78833,-70.1247,"Apr","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",6.292,NA,-0.3149
19,"AMOE216",43.78833,-70.1247,"Aug","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",19.76,NA,-0.3149
20,"AMOE216",43.78833,-70.1247,"Jan","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",1.144,NA,-0.3149
21,"AMOE216",43.78833,-70.1247,"Jul","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",19.8075,2.3285026304473,-0.3149
22,"AMOE216",43.78833,-70.1247,"Jun","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",16.681,NA,-0.3149
23,"AND04",44.02529,-69.5402,"Apr","ShellFish","Floating ADPI bags & trays",11.834,2.41826239271093,-0.4396
24,"AND04",44.02529,-69.5402,"Aug","ShellFish","Floating ADPI bags & trays",23.076,1.52567132764564,-0.4396
25,"AND04",44.02529,-69.5402,"Jan","ShellFish","Floating ADPI bags & trays",0.013,NA,-0.4396
26,"AND04",44.02529,-69.5402,"Jul","ShellFish","Floating ADPI bags & trays",25.427,1.79842681252254,-0.4396
27,"AND04",44.02529,-69.5402,"Jun","ShellFish","Floating ADPI bags & trays",19.249,NA,-0.4396
28,"AND04",44.02529,-69.5402,"Mar","ShellFish","Floating ADPI bags & trays",0.36,NA,-0.4396
29,"AND04",44.02529,-69.5402,"May","ShellFish","Floating ADPI bags & trays",15.566,NA,-0.4396
30,"AND04",44.02529,-69.5402,"Nov","ShellFish","Floating ADPI bags & trays",6.1725,5.78484057688715,-0.4396
31,"AND04",44.02529,-69.5402,"Oct","ShellFish","Floating ADPI bags & trays",17.401,2.7280179618177,-0.4396
32,"AND04",44.02529,-69.5402,"Sep","ShellFish","Floating ADPI bags & trays",20.6975,5.13288812463315,-0.4396
33,"ANDR214",43.86722,-69.5673,"Apr","ShellFish","Soft mesh bags",6.99033333333333,0.559718977106667,-6.8846
34,"ANDR214",43.86722,-69.5673,"Aug","ShellFish","Soft mesh bags",18.235,0.0791959594928947,-6.8846
35,"ANDR214",43.86722,-69.5673,"Jan","ShellFish","Soft mesh bags",3.572,NA,-6.8846
36,"ANDR214",43.86722,-69.5673,"Jul","ShellFish","Soft mesh bags",16.8635,2.93944288939248,-6.8846
37,"ANDR214",43.86722,-69.5673,"Jun","ShellFish","Soft mesh bags",15.552,NA,-6.8846
38,"ANDR214",43.86722,-69.5673,"Mar","ShellFish","Soft mesh bags",1.511,NA,-6.8846
39,"ANDR214",43.86722,-69.5673,"May","ShellFish","Soft mesh bags",10.707,NA,-6.8846
40,"ANDR214",43.86722,-69.5673,"Nov","ShellFish","Soft mesh bags",9.2025,2.40628437637782,-6.8846
41,"ANDR214",43.86722,-69.5673,"Oct","ShellFish","Soft mesh bags",13.975,NA,-6.8846
42,"ANDR214",43.86722,-69.5673,"Sep","ShellFish","Soft mesh bags",16.0545,3.2378419510532,-6.8846
43,"ANDR316",43.87028,-69.56659,"Apr","ShellFish","soft bags",6.978,NA,-1.1668
44,"ANDR316",43.87028,-69.56659,"Aug","ShellFish","soft bags",19.37,0.206475180106471,-1.1668
45,"ANDR316",43.87028,-69.56659,"Jan","ShellFish","soft bags",3.207,NA,-1.1668
46,"ANDR316",43.87028,-69.56659,"Jul","ShellFish","soft bags",17.442,3.22582113577303,-1.1668
