"SITE_ID","LSAT8_PPPRRR","DATE","SST","latitude","longitude","StartYr","EndYr","species","speciesCategory","BATHY","Datef","Month"
"CRO112",10029,20130824,16.26,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2013-08-24","Aug"
"CRO212",10029,20130824,15.73,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2013-08-24","Aug"
"CRO312",10029,20130824,16.3,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2013-08-24","Aug"
"GER113",10029,20130824,21.6,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2013-08-24","Aug"
"GER213",10029,20130824,21.6,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2013-08-24","Aug"
"GER513",10029,20130824,19.99,44.41433,-68.3676,2013,2014,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-1.05,"2013-08-24","Aug"
"GER613",10029,20130824,19.99,44.41433,-68.3677,2013,2013,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-1.11,"2013-08-24","Aug"
"GRAY113",10029,20130824,19.25,44.43889,-68.485,2013,2013,"Sea Scallop (Placopecten magellanicus)","ShellFish",-3.23,"2013-08-24","Aug"
"CRO112",10029,20140115,2.81,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2014-01-15","Jan"
"CRO212",10029,20140115,2.71,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2014-01-15","Jan"
"CRO312",10029,20140115,2.85,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2014-01-15","Jan"
"EML08",10029,20140115,3.44,44.34753,-68.4095,2008,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2014-01-15","Jan"
"GER113",10029,20140115,2.35,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2014-01-15","Jan"
"GER213",10029,20140115,2.35,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2014-01-15","Jan"
"JYOU114",10029,20140115,4.21,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2014-01-15","Jan"
"YOU112",10029,20140115,2.88,44.35583,-68.5671,2012,2017,"American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","ShellFish",NA,"2014-01-15","Jan"
"YOU212",10029,20140115,2.88,44.35583,-68.5671,2012,2017,"American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","ShellFish",NA,"2014-01-15","Jan"
"DEN113",10029,20140115,3.08,44.39674,-68.4303,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","ShellFish",-1.02,"2014-01-15","Jan"
"GER513",10029,20140115,2.3,44.41433,-68.3676,2013,2014,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-1.05,"2014-01-15","Jan"
"TATH214",10029,20140115,2.88,44.35695,-68.3074,2014,2014,"Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-5.67,"2014-01-15","Jan"
"CRO112",10029,20140304,-0.3,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2014-03-04","Mar"
"CRO212",10029,20140304,0.05,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2014-03-04","Mar"
"CRO312",10029,20140304,-0.47,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2014-03-04","Mar"
"GER113",10029,20140304,-1.47,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2014-03-04","Mar"
"GER213",10029,20140304,-1.47,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2014-03-04","Mar"
"JYOU114",10029,20140304,-0.76,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2014-03-04","Mar"
"DEN113",10029,20140304,-0.3,44.39674,-68.4303,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","ShellFish",-1.02,"2014-03-04","Mar"
"GER513",10029,20140304,-0.5,44.41433,-68.3676,2013,2014,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-1.05,"2014-03-04","Mar"
"CRO112",10029,20140507,10.81,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2014-05-07","May"
"CRO212",10029,20140507,9.65,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2014-05-07","May"
"CRO312",10029,20140507,11.5,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2014-05-07","May"
"JYOU114",10029,20140507,21.15,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2014-05-07","May"
"YOU112",10029,20140507,17.28,44.35583,-68.5671,2012,2017,"American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","ShellFish",NA,"2014-05-07","May"
"YOU212",10029,20140507,17.28,44.35583,-68.5671,2012,2017,"American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","ShellFish",NA,"2014-05-07","May"
"BREW112",10029,20140507,10.02,44.13794,-68.6663,2012,2017,"Sea Scallop (Placopecten magellanicus)","ShellFish",-2.44,"2014-05-07","May"
"DEN113",10029,20140507,14.55,44.39674,-68.4303,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","ShellFish",-1.02,"2014-05-07","May"
"GER513",10029,20140507,12.45,44.41433,-68.3676,2013,2014,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-1.05,"2014-05-07","May"
"CRO112",10029,20140608,13.13,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2014-06-08","Jun"
"CRO212",10029,20140608,12.83,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2014-06-08","Jun"
"CRO312",10029,20140608,13.61,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2014-06-08","Jun"
"GER113",10029,20140608,21.87,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2014-06-08","Jun"
"GER213",10029,20140608,21.87,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2014-06-08","Jun"
