"ID","SITE_ID","latitude","longitude","StartYr","EndYr","Month","species","speciesCategory","equipment","SST","SST_StdDev","BATHY"
1,"AJAG116",43.755,-70.1544,2016,2016,"Aug","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",21.21,NA,-4.92
2,"AJAG116",43.755,-70.1544,2016,2016,"Jan","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",0,NA,-4.92
3,"AJAG116",43.755,-70.1544,2016,2016,"Jul","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",22.48,1.51,-4.92
4,"AJAG216",43.75528,-70.1539,2016,2016,"Aug","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",21.27,NA,-4.54
5,"AJAG216",43.75528,-70.1539,2016,2016,"Jan","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",-0.12,NA,-4.54
6,"AJAG216",43.75528,-70.1539,2016,2016,"Jul","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",22.63,1.52,-4.54
7,"AJAG316",43.75667,-70.1656,2016,2017,"Aug","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",19.33,NA,-6.54
8,"AJAG316",43.75667,-70.1656,2016,2017,"Jan","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",1.16,NA,-6.54
9,"AJAG316",43.75667,-70.1656,2016,2017,"Jul","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",20.75,1.87,-6.54
10,"AJAG416",43.7575,-70.1694,2016,2017,"Aug","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",19.31,NA,-6.67
11,"AJAG416",43.7575,-70.1694,2016,2017,"Jan","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",1.12,NA,-6.67
12,"AJAG416",43.7575,-70.1694,2016,2017,"Jul","Alaria Kelp (Alaria esculenta);Horsetail Kelp (Laminaria digitata);Sugar Kelp (Laminaria saccharina)","SeaVeg","marine algae",20.82,1.98,-6.67
